"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\build.css", "CSS", 200, 0, 0, 0, 0, 3, 13, 216
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\build.html", "HTML", 0, 174, 0, 0, 0, 1, 49, 224
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\config.php", "PHP", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\create.css", "CSS", 126, 0, 0, 0, 0, 1, 18, 145
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\create.php", "PHP", 0, 0, 304, 0, 0, 1, 91, 396
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\cultivate.css", "CSS", 87, 0, 0, 0, 0, 0, 13, 100
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\cultivate.php", "PHP", 0, 0, 343, 0, 0, 1, 77, 421
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\email.php", "PHP", 0, 0, 27, 0, 0, 1, 32, 60
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\form.css", "CSS", 136, 0, 0, 0, 0, 10, 7, 153
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\html-email.html", "HTML", 0, 42, 0, 0, 0, 1, 10, 53
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\imagine.css", "CSS", 393, 0, 0, 0, 0, 5, 26, 424
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\imagine.php", "PHP", 0, 0, 608, 0, 0, 1, 134, 743
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\index.php", "PHP", 0, 0, 325, 0, 0, 1, 87, 413
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\nav.css", "CSS", 208, 0, 0, 0, 0, 1, 11, 220
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\nav.js", "JavaScript", 0, 0, 0, 50, 0, 4, 11, 65
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\paralax.js", "JavaScript", 0, 0, 0, 80, 0, 21, 17, 118
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\script.php", "PHP", 0, 0, 32, 0, 0, 16, 23, 71
"c:\Users\M-Cod\OneDrive\Documents\GitHub\CCDCP\style.css", "CSS", 132, 0, 0, 0, 0, 11, 5, 148
"Total", "-", 1282, 216, 1648, 130, 2, 79, 627, 3984
